47131 :Obion, Tennessee
19071 :Fremont, Iowa
41065 :Wasco, Oregon
41067 :Washington, Oregon
19073 :Greene, Iowa
19075 :Grundy, Iowa
41069 :Wheeler, Oregon
19077 :Guthrie, Iowa
41071 :Yamhill, Oregon
19079 :Hamilton, Iowa
19081 :Hancock, Iowa
19083 :Hardin, Iowa
19085 :Harrison, Iowa
19087 :Henry, Iowa
19089 :Howard, Iowa
19091 :Humboldt, Iowa
19093 :Ida, Iowa
19095 :Iowa, Iowa
19097 :Jackson, Iowa
19099 :Jasper, Iowa
19101 :Jefferson, Iowa
19103 :Johnson, Iowa
19105 :Jones, Iowa
19107 :Keokuk, Iowa
19109 :Kossuth, Iowa
19111 :Lee, Iowa
19113 :Linn, Iowa
19115 :Louisa, Iowa
19117 :Lucas, Iowa
19119 :Lyon, Iowa
19121 :Madison, Iowa
19123 :Mahaska, Iowa
19125 :Marion, Iowa
19127 :Marshall, Iowa
19129 :Mills, Iowa
19131 :Mitchell, Iowa
19133 :Monona, Iowa
19135 :Monroe, Iowa
19137 :Montgomery, Iowa
19139 :Muscatine, Iowa
19141 :Obrien, Iowa
16001 :Ada, Idaho
19143 :Osceola, Iowa
16003 :Adams, Idaho
19145 :Page, Iowa
16005 :Bannock, Idaho
19147 :Palo Alto, Iowa
16007 :Bear Lake, Idaho
38001 :Adams, North Dakota
19149 :Plymouth, Iowa
19151 :Pocahontas, Iowa
16009 :Benewah, Idaho
38003 :Barnes, North Dakota
38005 :Benson, North Dakota
19153 :Polk, Iowa
16011 :Bingham, Idaho
19155 :Pottawattamie, Iowa
38007 :Billings, North Dakota
16013 :Blaine, Idaho
16015 :Boise, Idaho
19157 :Poweshiek, Iowa
38009 :Bottineau, North Dakota
38011 :Bowman, North Dakota
19159 :Ringgold, Iowa
16017 :Bonner, Idaho
38013 :Burke, North Dakota
16019 :Bonneville, Idaho
19161 :Sac, Iowa
38015 :Burleigh, North Dakota
19163 :Scott, Iowa
16021 :Boundary, Idaho
19165 :Shelby, Iowa
38017 :Cass, North Dakota
16023 :Butte, Idaho
16025 :Camas, Idaho
38019 :Cavalier, North Dakota
19167 :Sioux, Iowa
19169 :Story, Iowa
16027 :Canyon, Idaho
38021 :Dickey, North Dakota
19171 :Tama, Iowa
38023 :Divide, North Dakota
16029 :Caribou, Idaho
19173 :Taylor, Iowa
16031 :Cassia, Idaho
38025 :Dunn, North Dakota
19175 :Union, Iowa
16033 :Clark, Idaho
38027 :Eddy, North Dakota
19177 :Van Buren, Iowa
16035 :Clearwater, Idaho
38029 :Emmons, North Dakota
16037 :Custer, Idaho
19179 :Wapello, Iowa
38031 :Foster, North Dakota
19181 :Warren, Iowa
16039 :Elmore, Idaho
38033 :Golden Valley, North Dakota
19183 :Washington, Iowa
16041 :Franklin, Idaho
38035 :Grand Forks, North Dakota
16043 :Fremont, Idaho
19185 :Wayne, Iowa
38037 :Grant, North Dakota
19187 :Webster, Iowa
38039 :Griggs, North Dakota
16045 :Gem, Idaho
38041 :Hettinger, North Dakota
16047 :Gooding, Idaho
19189 :Winnebago, Iowa
16049 :Idaho, Idaho
19191 :Winneshiek, Iowa
38043 :Kidder, North Dakota
19193 :Woodbury, Iowa
38045 :Lamoure, North Dakota
16051 :Jefferson, Idaho
16053 :Jerome, Idaho
19195 :Worth, Iowa
38047 :Logan, North Dakota
19197 :Wright, Iowa
16055 :Kootenai, Idaho
38049 :McHenry, North Dakota
16057 :Latah, Idaho
38051 :McIntosh, North Dakota
38053 :Mckenzie, North Dakota
16059 :Lemhi, Idaho
38055 :Mclean, North Dakota
16061 :Lewis, Idaho
38057 :Mercer, North Dakota
16063 :Lincoln, Idaho
16065 :Madison, Idaho
38059 :Morton, North Dakota
38061 :Mountrail, North Dakota
16067 :Minidoka, Idaho
16069 :Nez Perce, Idaho
38063 :Nelson, North Dakota
16071 :Oneida, Idaho
38065 :Oliver, North Dakota
16073 :Owyhee, Idaho
38067 :Pembina, North Dakota
16075 :Payette, Idaho
38069 :Pierce, North Dakota
38071 :Ramsey, North Dakota
16077 :Power, Idaho
38073 :Ransom, North Dakota
16079 :Shoshone, Idaho
38075 :Renville, North Dakota
16081 :Teton, Idaho
38077 :Richland, North Dakota
16083 :Twin Falls, Idaho
16085 :Valley, Idaho
38079 :Rolette, North Dakota
38081 :Sargent, North Dakota
16087 :Washington, Idaho
38083 :Sheridan, North Dakota
38085 :Sioux, North Dakota
38087 :Slope, North Dakota
38089 :Stark, North Dakota
38091 :Steele, North Dakota
38093 :Stutsman, North Dakota
38095 :Towner, North Dakota
38097 :Traill, North Dakota
38099 :Walsh, North Dakota
38101 :Ward, North Dakota
38103 :Wells, North Dakota
38105 :Williams, North Dakota
13001 :Appling, Georgia
13003 :Atkinson, Georgia
13005 :Bacon, Georgia
13007 :Baker, Georgia
35001 :Bernalillo, New Mexico
13009 :Baldwin, Georgia
35003 :Catron, New Mexico
35005 :Chaves, New Mexico
13011 :Banks, Georgia
35006 :Cibola, New Mexico
13013 :Barrow, Georgia
35007 :Colfax, New Mexico
35009 :Curry, New Mexico
13015 :Bartow, Georgia
35011 :De Baca, New Mexico
13017 :Ben Hill, Georgia
13019 :Berrien, Georgia
35013 :Dona Ana, New Mexico
35015 :Eddy, New Mexico
13021 :Bibb, Georgia
35017 :Grant, New Mexico
13023 :Bleckley, Georgia
35019 :Guadalupe, New Mexico
13025 :Brantley, Georgia
13027 :Brooks, Georgia
35021 :Harding, New Mexico
13029 :Bryan, Georgia
35023 :Hidalgo, New Mexico
35025 :Lea, New Mexico
13031 :Bulloch, Georgia
13033 :Burke, Georgia
35027 :Lincoln, New Mexico
35028 :Los Alamos, New Mexico
35029 :Luna, New Mexico
13035 :Butts, Georgia
35031 :Mckinley, New Mexico
13037 :Calhoun, Georgia
13039 :Camden, Georgia
35033 :Mora, New Mexico
35035 :Otero, New Mexico
35037 :Quay, New Mexico
13043 :Candler, Georgia
35039 :Rio Arriba, New Mexico
13045 :Carroll, Georgia
35041 :Roosevelt, New Mexico
13047 :Catoosa, Georgia
13049 :Charlton, Georgia
35043 :Sandoval, New Mexico
13051 :Chatham, Georgia
35045 :San Juan, New Mexico
35047 :San Miguel, New Mexico
13053 :Chattahoochee, Georgia
13055 :Chattooga, Georgia
35049 :Santa Fe, New Mexico
35051 :Sierra, New Mexico
13057 :Cherokee, Georgia
13059 :Clarke, Georgia
35053 :Socorro, New Mexico
35055 :Taos, New Mexico
13061 :Clay, Georgia
13063 :Clayton, Georgia
35057 :Torrance, New Mexico
13065 :Clinch, Georgia
35059 :Union, New Mexico
13067 :Cobb, Georgia
35061 :Valencia, New Mexico
13069 :Coffee, Georgia
13071 :Colquitt, Georgia
13073 :Columbia, Georgia
13075 :Cook, Georgia
13077 :Coweta, Georgia
13079 :Crawford, Georgia
13081 :Crisp, Georgia
13083 :Dade, Georgia
13085 :Dawson, Georgia
13087 :Decatur, Georgia
13089 :De Kalb, Georgia
13091 :Dodge, Georgia
13093 :Dooly, Georgia
13095 :Dougherty, Georgia
13097 :Douglas, Georgia
13099 :Early, Georgia
13101 :Echols, Georgia
13103 :Effingham, Georgia
13105 :Elbert, Georgia
13107 :Emanuel, Georgia
13109 :Evans, Georgia
13111 :Fannin, Georgia
13113 :Fayette, Georgia
13115 :Floyd, Georgia
13117 :Forsyth, Georgia
13119 :Franklin, Georgia
13121 :Fulton, Georgia
13123 :Gilmer, Georgia
13125 :Glascock, Georgia
13127 :Glynn, Georgia
13129 :Gordon, Georgia
13131 :Grady, Georgia
13133 :Greene, Georgia
13135 :Gwinnett, Georgia
13137 :Habersham, Georgia
13139 :Hall, Georgia
13141 :Hancock, Georgia
10001 :Kent, Delaware
13143 :Haralson, Georgia
13145 :Harris, Georgia
10003 :New Castle, Delaware
10005 :Sussex, Delaware
13147 :Hart, Georgia
13149 :Heard, Georgia
32001 :Churchill, Nevada
32003 :Clark, Nevada
13151 :Henry, Georgia
13153 :Houston, Georgia
32005 :Douglas, Nevada
13155 :Irwin, Georgia
54001 :Barbour, West Virginia
32007 :Elko, Nevada
13157 :Jackson, Georgia
32009 :Esmeralda, Nevada
54003 :Berkeley, West Virginia
13159 :Jasper, Georgia
32011 :Eureka, Nevada
54005 :Boone, West Virginia
32013 :Humboldt, Nevada
54007 :Braxton, West Virginia
13161 :Jeff Davis, Georgia
54009 :Brooke, West Virginia
32015 :Lander, Nevada
13163 :Jefferson, Georgia
13165 :Jenkins, Georgia
54011 :Cabell, West Virginia
32017 :Lincoln, Nevada
54013 :Calhoun, West Virginia
32019 :Lyon, Nevada
13167 :Johnson, Georgia
32021 :Mineral, Nevada
54015 :Clay, West Virginia
13169 :Jones, Georgia
32023 :Nye, Nevada
54017 :Doddridge, West Virginia
13171 :Lamar, Georgia
13173 :Lanier, Georgia
54019 :Fayette, West Virginia
13175 :Laurens, Georgia
32027 :Pershing, Nevada
54021 :Gilmer, West Virginia
13177 :Lee, Georgia
32029 :Storey, Nevada
54023 :Grant, West Virginia
32031 :Washoe, Nevada
54025 :Greenbrier, West Virginia
13179 :Liberty, Georgia
13181 :Lincoln, Georgia
54027 :Hampshire, West Virginia
32033 :White Pine, Nevada
54029 :Hancock, West Virginia
13183 :Long, Georgia
13185 :Lowndes, Georgia
54031 :Hardy, West Virginia
54033 :Harrison, West Virginia
13187 :Lumpkin, Georgia
54035 :Jackson, West Virginia
13189 :McDuffie, Georgia
54037 :Jefferson, West Virginia
13191 :McIntosh, Georgia
54039 :Kanawha, West Virginia
13193 :Macon, Georgia
13195 :Madison, Georgia
54041 :Lewis, West Virginia
54043 :Lincoln, West Virginia
13197 :Marion, Georgia
54045 :Logan, West Virginia
13199 :Meriwether, Georgia
13201 :Miller, Georgia
54047 :McDowell, West Virginia
54049 :Marion, West Virginia
54051 :Marshall, West Virginia
13205 :Mitchell, Georgia
54053 :Mason, West Virginia
13207 :Monroe, Georgia
13209 :Montgomery, Georgia
54055 :Mercer, West Virginia
54057 :Mineral, West Virginia
13211 :Morgan, Georgia
54059 :Mingo, West Virginia
13213 :Murray, Georgia
54061 :Monongalia, West Virginia
13215 :Muscogee, Georgia
13217 :Newton, Georgia
54063 :Monroe, West Virginia
54065 :Morgan, West Virginia
13219 :Oconee, Georgia
54067 :Nicholas, West Virginia
13221 :Oglethorpe, Georgia
13223 :Paulding, Georgia
54069 :Ohio, West Virginia
13225 :Peach, Georgia
54071 :Pendleton, West Virginia
13227 :Pickens, Georgia
54073 :Pleasants, West Virginia
54075 :Pocahontas, West Virginia
13229 :Pierce, Georgia
54077 :Preston, West Virginia
13231 :Pike, Georgia
54079 :Putnam, West Virginia
13233 :Polk, Georgia
13235 :Pulaski, Georgia
54081 :Raleigh, West Virginia
54083 :Randolph, West Virginia
13237 :Putnam, Georgia
13239 :Quitman, Georgia
54085 :Ritchie, West Virginia
54087 :Roane, West Virginia
13241 :Rabun, Georgia
13243 :Randolph, Georgia
54089 :Summers, West Virginia
54091 :Taylor, West Virginia
13245 :Richmond, Georgia
13247 :Rockdale, Georgia
54093 :Tucker, West Virginia
54095 :Tyler, West Virginia
13249 :Schley, Georgia
13251 :Screven, Georgia
54097 :Upshur, West Virginia
54099 :Wayne, West Virginia
13253 :Seminole, Georgia
13255 :Spalding, Georgia
54101 :Webster, West Virginia
54103 :Wetzel, West Virginia
13257 :Stephens, Georgia
54105 :Wirt, West Virginia
13259 :Stewart, Georgia
54107 :Wood, West Virginia
13261 :Sumter, Georgia
54109 :Wyoming, West Virginia
13263 :Talbot, Georgia
13265 :Taliaferro, Georgia
13267 :Tattnall, Georgia
13269 :Taylor, Georgia
13271 :Telfair, Georgia
13273 :Terrell, Georgia
13275 :Thomas, Georgia
13277 :Tift, Georgia
13279 :Toombs, Georgia
13281 :Towns, Georgia
13283 :Treutlen, Georgia
13285 :Troup, Georgia
13287 :Turner, Georgia
13289 :Twiggs, Georgia
13291 :Union, Georgia
29001 :Adair, Missouri
29003 :Andrew, Missouri
13293 :Upson, Georgia
13295 :Walker, Georgia
29005 :Atchison, Missouri
29007 :Audrain, Missouri
51001 :Accomack, Virginia
13297 :Walton, Georgia
51003 :Albemarle, Virginia
13299 :Ware, Georgia
29009 :Barry, Missouri
13301 :Warren, Georgia
51005 :Alleghany, Virginia
29011 :Barton, Missouri
29013 :Bates, Missouri
13303 :Washington, Georgia
51007 :Amelia, Virginia
13305 :Wayne, Georgia
51009 :Amherst, Virginia
29015 :Benton, Missouri
29017 :Bollinger, Missouri
51011 :Appomattox, Virginia
13307 :Webster, Georgia
29019 :Boone, Missouri
13309 :Wheeler, Georgia
51013 :Arlington, Virginia
51015 :Augusta, Virginia
13311 :White, Georgia
29021 :Buchanan, Missouri
13313 :Whitfield, Georgia
51017 :Bath, Virginia
29023 :Butler, Missouri
13315 :Wilcox, Georgia
29025 :Caldwell, Missouri
51019 :Bedford, Virginia
13317 :Wilkes, Georgia
29027 :Callaway, Missouri
51021 :Bland, Virginia
51023 :Botetourt, Virginia
13319 :Wilkinson, Georgia
29029 :Camden, Missouri
29031 :Cape Girardeau, Missouri
51025 :Brunswick, Virginia
13321 :Worth, Georgia
51027 :Buchanan, Virginia
29033 :Carroll, Missouri
29035 :Carter, Missouri
51029 :Buckingham, Virginia
29037 :Cass, Missouri
51031 :Campbell, Virginia
29039 :Cedar, Missouri
51033 :Caroline, Virginia
51035 :Carroll, Virginia
29041 :Chariton, Missouri
51036 :Charles City, Virginia
29043 :Christian, Missouri
51037 :Charlotte, Virginia
29045 :Clark, Missouri
29047 :Clay, Missouri
51041 :Chesterfield, Virginia
29049 :Clinton, Missouri
51043 :Clarke, Virginia
51045 :Craig, Virginia
29051 :Cole, Missouri
51047 :Culpeper, Virginia
29053 :Cooper, Missouri
51049 :Cumberland, Virginia
29055 :Crawford, Missouri
51051 :Dickenson, Virginia
29057 :Dade, Missouri
51053 :Dinwiddie, Virginia
29059 :Dallas, Missouri
29061 :Daviess, Missouri
29063 :Dekalb, Missouri
51057 :Essex, Virginia
29065 :Dent, Missouri
51059 :Fairfax, Virginia
51061 :Fauquier, Virginia
29067 :Douglas, Missouri
51063 :Floyd, Virginia
29069 :Dunklin, Missouri
29071 :Franklin, Missouri
51065 :Fluvanna, Virginia
51067 :Franklin, Virginia
29073 :Gasconade, Missouri
51069 :Frederick, Virginia
29075 :Gentry, Missouri
51071 :Giles, Virginia
29077 :Greene, Missouri
29079 :Grundy, Missouri
51073 :Gloucester, Virginia
51075 :Goochland, Virginia
29081 :Harrison, Missouri
29083 :Henry, Missouri
51077 :Grayson, Virginia
29085 :Hickory, Missouri
51079 :Greene, Virginia
29087 :Holt, Missouri
51081 :Greensville, Virginia
29089 :Howard, Missouri
51083 :Halifax, Virginia
29091 :Howell, Missouri
51085 :Hanover, Virginia
51087 :Henrico, Virginia
29093 :Iron, Missouri
29095 :Jackson, Missouri
51089 :Henry, Virginia
29097 :Jasper, Missouri
51091 :Highland, Virginia
29099 :Jefferson, Missouri
51093 :Isle of Wight, Virginia
51095 :James City, Virginia
29101 :Johnson, Missouri
29103 :Knox, Missouri
51097 :King and Queen, Virginia
29105 :Laclede, Missouri
51099 :King George, Virginia
29107 :Lafayette, Missouri
51101 :King William, Virginia
29109 :Lawrence, Missouri
51103 :Lancaster, Virginia
51105 :Lee, Virginia
29111 :Lewis, Missouri
51107 :Loudoun, Virginia
29113 :Lincoln, Missouri
29115 :Linn, Missouri
51109 :Louisa, Virginia
29117 :Livingston, Missouri
51111 :Lunenburg, Virginia
51113 :Madison, Virginia
29119 :Mcdonald, Missouri
29121 :Macon, Missouri
51115 :Mathews, Virginia
51117 :Mecklenburg, Virginia
29123 :Madison, Missouri
51119 :Middlesex, Virginia
29125 :Maries, Missouri
51121 :Montgomery, Virginia
29127 :Marion, Missouri
29129 :Mercer, Missouri
29131 :Miller, Missouri
51125 :Nelson, Virginia
51127 :New Kent, Virginia
29133 :Mississippi, Missouri
29135 :Moniteau, Missouri
29137 :Monroe, Missouri
4001 :Apache, Arizona
51131 :Northampton, Virginia
51133 :Northumberland, Virginia
4003 :Cochise, Arizona
29139 :Montgomery, Missouri
29141 :Morgan, Missouri
4005 :Coconino, Arizona
51135 :Nottoway, Virginia
51137 :Orange, Virginia
29143 :New Madrid, Missouri
26001 :Alcona, Michigan
4007 :Gila, Arizona
29145 :Newton, Missouri
51139 :Page, Virginia
26003 :Alger, Michigan
4009 :Graham, Arizona
26005 :Allegan, Michigan
29147 :Nodaway, Missouri
51141 :Patrick, Virginia
4011 :Greenlee, Arizona
4012 :La Paz, Arizona
51143 :Pittsylvania, Virginia
26007 :Alpena, Michigan
48001 :Anderson, Texas
4013 :Maricopa, Arizona
29149 :Oregon, Missouri
29151 :Osage, Missouri
51145 :Powhatan, Virginia
4015 :Mohave, Arizona
26009 :Antrim, Michigan
48003 :Andrews, Texas
26011 :Arenac, Michigan
29153 :Ozark, Missouri
51147 :Prince Edward, Virginia
4017 :Navajo, Arizona
48005 :Angelina, Texas
4019 :Pima, Arizona
26013 :Baraga, Michigan
51149 :Prince George, Virginia
48007 :Aransas, Texas
29155 :Pemiscot, Missouri
26015 :Barry, Michigan
29157 :Perry, Missouri
4021 :Pinal, Arizona
48009 :Archer, Texas
48011 :Armstrong, Texas
51153 :Prince William, Virginia
4023 :Santa Cruz, Arizona
26017 :Bay, Michigan
29159 :Pettis, Missouri
29161 :Phelps, Missouri
51155 :Pulaski, Virginia
26019 :Benzie, Michigan
48013 :Atascosa, Texas
4025 :Yavapai, Arizona
48015 :Austin, Texas
4027 :Yuma, Arizona
51157 :Rappahannock, Virginia
29163 :Pike, Missouri
26021 :Berrien, Michigan
26023 :Branch, Michigan
48017 :Bailey, Texas
29165 :Platte, Missouri
51159 :Richmond, Virginia
48019 :Bandera, Texas
51161 :Roanoke, Virginia
29167 :Polk, Missouri
26025 :Calhoun, Michigan
26027 :Cass, Michigan
29169 :Pulaski, Missouri
51163 :Rockbridge, Virginia
48021 :Bastrop, Texas
48023 :Baylor, Texas
51165 :Rockingham, Virginia
26029 :Charlevoix, Michigan
29171 :Putnam, Missouri
51167 :Russell, Virginia
29173 :Ralls, Missouri
48025 :Bee, Texas
26031 :Cheboygan, Michigan
48027 :Bell, Texas
51169 :Scott, Virginia
26033 :Chippewa, Michigan
29175 :Randolph, Missouri
29177 :Ray, Missouri
51171 :Shenandoah, Virginia
26035 :Clare, Michigan
48029 :Bexar, Texas
48031 :Blanco, Texas
29179 :Reynolds, Missouri
26037 :Clinton, Michigan
51173 :Smyth, Virginia
51175 :Southampton, Virginia
29181 :Ripley, Missouri
48033 :Borden, Texas
26039 :Crawford, Michigan
51177 :Spotsylvania, Virginia
48035 :Bosque, Texas
26041 :Delta, Michigan
29183 :St Charles, Missouri
48037 :Bowie, Texas
29185 :St Clair, Missouri
51179 :Stafford, Virginia
26043 :Dickinson, Michigan
29186 :Ste Genevieve, Missouri
29187 :St Francois, Missouri
48039 :Brazoria, Texas
26045 :Eaton, Michigan
51181 :Surry, Virginia
26047 :Emmet, Michigan
48041 :Brazos, Texas
51183 :Sussex, Virginia
29189 :St Louis, Missouri
26049 :Genesee, Michigan
48043 :Brewster, Texas
51185 :Tazewell, Virginia
26051 :Gladwin, Michigan
48045 :Briscoe, Texas
51187 :Warren, Virginia
26053 :Gogebic, Michigan
29195 :Saline, Missouri
48047 :Brooks, Texas
29197 :Schuyler, Missouri
51191 :Washington, Virginia
48049 :Brown, Texas
26055 :Grand Traverse, Michigan
51193 :Westmoreland, Virginia
29199 :Scotland, Missouri
26057 :Gratiot, Michigan
48051 :Burleson, Texas
26059 :Hillsdale, Michigan
48053 :Burnet, Texas
51195 :Wise, Virginia
29201 :Scott, Missouri
26061 :Houghton, Michigan
51197 :Wythe, Virginia
48055 :Caldwell, Texas
29203 :Shannon, Missouri
26063 :Huron, Michigan
51199 :York, Virginia
48057 :Calhoun, Texas
29205 :Shelby, Missouri
29207 :Stoddard, Missouri
48059 :Callahan, Texas
26065 :Ingham, Michigan
48061 :Cameron, Texas
29209 :Stone, Missouri
26067 :Ionia, Michigan
26069 :Iosco, Michigan
48063 :Camp, Texas
29211 :Sullivan, Missouri
29213 :Taney, Missouri
26071 :Iron, Michigan
48065 :Carson, Texas
26073 :Isabella, Michigan
48067 :Cass, Texas
29215 :Texas, Missouri
48069 :Castro, Texas
26075 :Jackson, Michigan
29217 :Vernon, Missouri
48071 :Chambers, Texas
29219 :Warren, Missouri
26077 :Kalamazoo, Michigan
26079 :Kalkaska, Michigan
48073 :Cherokee, Texas
29221 :Washington, Missouri
26081 :Kent, Michigan
29223 :Wayne, Missouri
48075 :Childress, Texas
26083 :Keweenaw, Michigan
29225 :Webster, Missouri
48077 :Clay, Texas
29227 :Worth, Missouri
48079 :Cochran, Texas
26085 :Lake, Michigan
29229 :Wright, Missouri
26087 :Lapeer, Michigan
48081 :Coke, Texas
48083 :Coleman, Texas
26089 :Leelanau, Michigan
48085 :Collin, Texas
26091 :Lenawee, Michigan
48087 :Collingsworth, Texas
26093 :Livingston, Michigan
26095 :Luce, Michigan
48089 :Colorado, Texas
48091 :Comal, Texas
26097 :Mackinac, Michigan
48093 :Comanche, Texas
26099 :Macomb, Michigan
26101 :Manistee, Michigan
48095 :Concho, Texas
26103 :Marquette, Michigan
48097 :Cooke, Texas
48099 :Coryell, Texas
26105 :Mason, Michigan
48101 :Cottle, Texas
26107 :Mecosta, Michigan
26109 :Menominee, Michigan
48103 :Crane, Texas
48105 :Crockett, Texas
26111 :Midland, Michigan
26113 :Missaukee, Michigan
48107 :Crosby, Texas
48109 :Culberson, Texas
26115 :Monroe, Michigan
48111 :Dallam, Texas
26117 :Montcalm, Michigan
48113 :Dallas, Texas
26119 :Montmorency, Michigan
48115 :Dawson, Texas
26121 :Muskegon, Michigan
48117 :Deaf Smith, Texas
26123 :Newaygo, Michigan
26125 :Oakland, Michigan
48119 :Delta, Texas
26127 :Oceana, Michigan
48121 :Denton, Texas
48123 :De Witt, Texas
26129 :Ogemaw, Michigan
26131 :Ontonagon, Michigan
48125 :Dickens, Texas
48127 :Dimmit, Texas
26133 :Osceola, Michigan
26135 :Oscoda, Michigan
48129 :Donley, Texas
1001 :Autauga, Alabama
26137 :Otsego, Michigan
48131 :Duval, Texas
1003 :Baldwin, Alabama
26139 :Ottawa, Michigan
48133 :Eastland, Texas
48135 :Ector, Texas
1005 :Barbour, Alabama
26141 :Presque Isle, Michigan
48137 :Edwards, Texas
26143 :Roscommon, Michigan
23001 :Androscoggin, Maine
1007 :Bibb, Alabama
26145 :Saginaw, Michigan
23003 :Aroostook, Maine
48139 :Ellis, Texas
1009 :Blount, Alabama
48141 :El Paso, Texas
1011 :Bullock, Alabama
23005 :Cumberland, Maine
26147 :St Clair, Michigan
23007 :Franklin, Maine
1013 :Butler, Alabama
45001 :Abbeville, South Carolina
26149 :St Joseph, Michigan
48143 :Erath, Texas
